reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11,30,7,0,0,0,0,0.04722429998219013,,0.008236799854785204,0.04722429998219013,1.0118483998812735,1.0118483998812735,1.0614873999729753,2.3526913998648524,l,1.325571000110358,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
27,50,21,0,1,1,2,2.363858199911192,,2.3539454999845475,2.363858199911192,3.3615968998055905,3.3615968998055905,3.3783631999976933,3.74692689999938,t,0.3737695999443531,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
78,80,162,0,2,2,6,3.7653997999150306,,3.748014299897477,3.7653997999150306,4.7613915000110865,4.7613915000110865,4.778225099900737,5.062863699859008,l,0.2977038000244647,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
67,75,119,0,3,3,5,5.07802929985337,,5.063811699859798,5.07802929985337,6.077965999953449,6.077965999953449,6.077965999953449,6.412612999789417,l,0.3299604000058025,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
49,60,89,0,4,4,4,6.4277475997805595,,6.413552699843422,6.4277475997805595,7.427999899955466,7.427999899955466,7.427999899955466,7.712660499848425,t,0.27402560017071664,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
40,55,62,0,5,5,3,7.727631999878213,,7.713686499977484,7.727631999878213,8.727707699872553,8.727707699872553,8.727707699872553,9.094786399975419,t,0.3555797999724746,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
15,35,13,0,6,6,1,9.11085779988207,,9.095306899864227,9.11085779988207,10.110466299811378,10.110466299811378,10.110466299811378,10.54647699999623,l,0.4323079998139292,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
27,50,21,1,0,7,2,10.560425399802625,,10.547534699784592,10.560425399802625,11.5606360998936,11.5606360998936,11.5606360998936,11.962265599984676,l,0.38576390012167394,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
11,30,7,1,1,8,0,11.977217799983919,,11.963336099870503,11.977217799983919,12.97714009997435,12.97714009997435,12.97714009997435,13.245177799835801,t,0.25312369992025197,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
40,55,62,1,2,9,3,13.260074999881908,,13.246110799955204,13.260074999881908,14.260042799869552,14.260042799869552,14.260042799869552,14.46192149980925,t,0.18978110002353787,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
49,60,89,1,3,10,4,14.476864699972793,,14.463003999786451,14.476864699972793,15.47680429997854,15.47680429997854,15.47680429997854,15.828549899859354,l,0.33767480007372797,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
15,35,13,1,4,11,1,15.843522999901325,,15.8295556998346,15.843522999901325,16.843311599921435,16.843311599921435,16.843311599921435,17.162393799982965,t,0.31534310011193156,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
78,80,162,1,5,12,6,17.176308899885044,,17.16351189999841,17.176308899885044,18.176528199808672,18.176528199808672,18.176528199808672,18.66147209983319,l,0.4714474999345839,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
67,75,119,1,6,13,5,18.676275899866596,,18.662505199899897,18.676275899866596,19.67642379994504,19.67642379994504,19.67642379994504,19.978233499918133,l,0.28957549994811416,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
11,30,7,2,0,14,0,19.992657399969175,,19.979246099945158,19.992657399969175,20.992680399911478,20.992680399911478,20.992680399911478,21.24423719989136,t,0.2365906999912113,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
27,50,21,2,1,15,2,21.259170999983326,,21.24521359987557,21.259170999983326,22.259091999847442,22.259091999847442,22.259091999847442,22.628016399918124,t,0.35616160021163523,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
40,55,62,2,2,16,3,22.642308899899945,,22.629285199800506,22.642308899899945,23.64249229989946,23.64249229989946,23.64249229989946,24.06082049990073,l,0.4051283998414874,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
15,35,13,2,3,17,1,24.075470299925655,,24.06191369984299,24.075470299925655,25.07583749992773,25.07583749992773,25.07583749992773,25.294119199970737,t,0.21514280000701547,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
49,60,89,2,4,18,4,25.308545699808747,,25.29503449983895,25.308545699808747,26.30861909990199,26.30861909990199,26.30861909990199,26.543565799947828,l,0.22093280008994043,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
67,75,119,2,5,19,5,26.558471799828112,,26.54453149996698,26.558471799828112,27.558434000005946,27.558434000005946,27.558434000005946,27.843434899812564,l,0.2684057999867946,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
78,80,162,2,6,20,6,27.858234299812466,,27.844501299783587,27.858234299812466,28.858274800004438,28.858274800004438,28.858274800004438,29.243243099888787,t,0.37851680000312626,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
27,50,21,3,0,21,2,29.2580905999057,,29.244117599911988,29.2580905999057,30.258103600004688,30.258103600004688,30.258103600004688,30.47688529989682,l,0.20797710004262626,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
67,75,119,3,1,22,5,30.49134389986284,,30.477980099851266,30.49134389986284,31.49141319980845,31.49141319980845,31.49141319980845,32.19319109991193,l,0.6934805999044329,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
15,35,13,3,2,23,1,32.20738299982622,,32.19418659992516,32.20738299982622,33.20746299996972,33.20746299996972,33.20746299996972,33.559666299959645,t,0.33651930000633,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
78,80,162,3,3,24,6,33.57425479986705,,33.56082189991139,33.57425479986705,34.57443299982697,34.57443299982697,34.57443299982697,34.642573999939486,l,0.0628591999411583,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
49,60,89,3,4,25,4,34.6573443999514,,34.643551599932835,34.6573443999514,35.65743919997476,35.65743919997476,35.65743919997476,35.676213999977335,t,0.008414699928835034,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
11,30,7,3,5,26,0,35.690712000010535,,35.67725069983862,35.690712000010535,36.690796399954706,36.690796399954706,36.690796399954706,37.009206999791786,l,0.3058241999242455,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
40,55,62,3,6,27,3,37.02378709986806,,37.010303399991244,37.02378709986806,38.02393069979735,38.02393069979735,38.02393069979735,38.375459200004116,t,0.34509390010498464,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
78,80,162,4,0,28,6,38.3900870999787,,38.37652609986253,38.3900870999787,39.39035499980673,39.39035499980673,39.39035499980673,39.42592189996503,t,0.03348750015720725,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
27,50,21,4,1,29,2,39.440021299989894,,39.42675210000016,39.440021299989894,40.44027439993806,40.44027439993806,40.44027439993806,40.69373509986326,t,None,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
49,60,89,4,2,30,4,40.70647869980894,,40.69524099980481,40.70647869980894,41.70657859998755,41.70657859998755,41.70657859998755,42.29197409981862,l,0.574164800113067,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
67,75,119,4,3,31,5,42.30629919981584,,42.29294869978912,42.30629919981584,43.30631969985552,43.30631969985552,43.30631969985552,43.508282999973744,l,0.18559190002270043,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
40,55,62,4,4,32,3,43.52292979997583,,43.50929039996117,43.52292979997583,44.522957199951634,44.522957199951634,44.522957199951634,44.841274299891666,l,0.30117800016887486,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
15,35,13,4,5,33,1,44.85600129980594,,44.84231879981235,44.85600129980594,45.85593489999883,45.85593489999883,45.85593489999883,45.99102690001018,l,0.12776679988019168,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
11,30,7,4,6,34,0,46.00574949989095,,45.99199949996546,46.00574949989095,47.00582229997963,47.00582229997963,47.00582229997963,47.65756019996479,t,0.6458559001330286,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
11,30,7,5,0,35,0,47.67252909997478,,47.65851629991084,47.67252909997478,48.672488200012594,48.672488200012594,48.672488200012594,49.073979599867016,l,0.3900146000087261,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
40,55,62,5,1,36,3,49.08879979979247,,49.07498289993964,49.08879979979247,50.08889149990864,50.08889149990864,50.08889149990864,50.290537499822676,t,0.1970793001819402,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
67,75,119,5,2,37,5,50.305215699831024,,50.29142989986576,50.305215699831024,51.305259899934754,51.305259899934754,51.305259899934754,51.406627299962565,t,0.09490770008414984,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
27,50,21,5,3,38,2,51.42184069985524,,51.40749039989896,51.42184069985524,52.42213779990561,52.42213779990561,52.42213779990561,52.65664929989725,t,0.22816059994511306,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
15,35,13,5,4,39,1,52.67172869993374,,52.65756249986589,52.67172869993374,53.671650499803945,53.671650499803945,53.671650499803945,53.80704149999656,l,0.12308800010941923,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
78,80,162,5,5,40,6,53.82154199993238,,53.80808689980768,53.82154199993238,54.821470899973065,54.821470899973065,54.821470899973065,55.07338109984994,l,0.2387891998514533,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
49,60,89,5,6,41,4,55.08800099999644,,55.074402999831364,55.08800099999644,56.088086399948224,56.088086399948224,56.088086399948224,56.68970559979789,t,0.5921565999742597,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
67,75,119,6,0,42,5,56.7043825997971,,56.690738699864596,56.7043825997971,57.704281999962404,57.704281999962404,57.704281999962404,58.00578119978309,l,0.2949491001199931,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
78,80,162,6,1,43,6,58.02144549996592,,58.00661519984715,58.02144549996592,59.020928299985826,59.020928299985826,59.020928299985826,59.3061321999412,t,0.26851240010000765,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
40,55,62,6,2,44,3,59.32082119979896,,59.307153899921104,59.32082119979896,60.32066319999285,60.32066319999285,60.32066319999285,60.57253049989231,l,0.24198859999887645,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
15,35,13,6,3,45,1,60.5872395997867,,60.57350329984911,60.5872395997867,61.587500099791214,61.587500099791214,61.587500099791214,61.92285460000858,t,0.3271075999364257,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
49,60,89,6,4,46,4,61.9370647999458,,61.92385879997164,61.9370647999458,62.937241199892014,62.937241199892014,62.937241199892014,63.45536669995636,l,0.5097938999533653,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
11,30,7,6,5,47,0,63.470280499896035,,63.456507599912584,63.470280499896035,64.47049189987592,64.47049189987592,64.47049189987592,64.80510369990952,t,0.32456679991446435,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
27,50,21,6,6,48,2,64.82016879995354,,64.80608059978113,64.82016879995354,65.82008679979481,65.82008679979481,65.82008679979481,65.93842399981804,l,0.11014960007742047,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
11,30,7,7,0,49,0,65.95317939994857,,65.93942309985869,65.95317939994857,66.9531386999879,66.9531386999879,66.9531386999879,67.2546670997981,t,0.28797159995883703,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
67,75,119,7,1,50,5,67.26982319983654,,67.25563809997402,67.26982319983654,68.26989629981108,68.26989629981108,68.26989629981108,68.52151659992523,l,0.23760170000605285,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
15,35,13,7,2,51,1,68.53632129984908,,68.52249719994143,68.53632129984908,69.53606249997392,69.53606249997392,69.53606249997392,69.58784249983728,l,0.04596520005725324,None,471380,001,2024-11-15_11h39.34.696,delay discounting experiment,2024.1.5,None,2024-11-15 11h39.43.974331 +0530,
